Age,Income,City,House_Price
25,45000,New York,350000
68,,London,420000
34,60000,,380000
45,75000,Paris,410000
71,,New York,480000
22,35000,London,310000
55,999999999,Paris,450000
40,65000,New York,390000
28,48000,London,380000
72,,Paris,450000
35,55000,New York,395000
50,78000,London,425000
68,,Paris,460000
22,35000,New York,320000
41,71000,,480000
60,85000,London,510000
75,,New York,400000
31,52000,Paris,375000
26,46000,London,360000
66,,New York,430000
38,59000,Paris,405000
47,68000,London,440000
53,82000,New York,490000
29,50000,,385000
70,,London,455000
33,56000,Paris,390000
42,75000,New York,470000
61,88000,London,520000
77,,Paris,415000
24,40000,New York,340000
